Age;Attrition;BusinessVoyage;Tarif_ journalier;Departement;Distance_travail;Formation;Formation-detail;Matricule;Satisfaction_environnement;Genre;tarif_horaire;Investissement_travail;Niveau_managerial;Poste;Satisfaction_travail;Statut_marital;Salaire_mensuel;tarif-mensuel;Nb_entreprises_travaillees;Heures_sup;%_augmentation_salariale;Note_performance;Satisfaction_relations;Contrat_horaire;Annees_dans_vie_pro;Formation_annee_precedente;Equilibre_vie_pro_perso;annee_anciennete;annee_poste_actuel;annees_depuis_promotion;annee_avec_manager_actuel
35;Non;Voyage_rarement;1142;R&D;23;4;Medecine;75;3;Femme;30;3;1;Laboratory Technician;1;Marié;4014;16002;3;Yes;15;3;3;80;4;3;3;2;2;2;2
31;Non;Voyage_rarement;655;R&D;7;4;Sciences;76;4;Homme;48;3;2;Laboratory Technician;4;Divorcé;5915;9528;3;No;22;4;4;80;10;3;2;7;7;1;7
37;Non;Voyage_rarement;1115;R&D;1;4;Sciences;77;1;Homme;51;2;2;Manufacturing Director;3;Divorcé;5993;2689;1;No;18;3;3;80;7;2;4;7;5;0;7
32;Non;Voyage_rarement;427;R&D;1;3;Medecine;78;1;Homme;33;3;2;Manufacturing Director;4;Marié;6162;10877;1;Yes;22;4;2;80;9;3;3;9;8;7;8
38;Non;Voyage_fréquemment;653;R&D;29;5;Sciences;79;4;Femme;50;3;2;Laboratory Technician;4;célibataire;2406;5456;1;No;11;3;4;80;10;2;3;10;3;9;9
50;Non;Voyage_rarement;989;R&D;7;2;Medecine;80;2;Femme;43;2;5;Research Director;3;Divorcé;18740;16701;5;Yes;12;3;4;80;29;2;2;27;3;13;8
59;Non;Voyage_rarement;1435;Ventes;25;3;Sciences;81;1;Femme;99;3;3;Sales Executive;1;célibataire;7637;2354;7;No;11;3;4;80;28;3;2;21;16;7;9
36;Non;Voyage_rarement;1223;R&D;8;3;Diplome technique;83;3;Femme;59;3;3;Healthcare Representative;3;Divorcé;10096;8202;1;No;13;3;2;80;17;2;3;17;14;12;8
55;Non;Voyage_rarement;836;R&D;8;3;Medecine;84;4;Femme;33;3;4;Manager;3;Divorcé;14756;19730;2;Yes;14;3;3;80;21;2;3;5;0;0;2
36;Non;Voyage_fréquemment;1195;R&D;11;3;Sciences;85;2;Homme;95;2;2;Manufacturing Director;2;célibataire;6499;22656;1;No;13;3;3;80;6;3;3;6;5;0;3
45;Non;Voyage_rarement;1339;R&D;7;3;Sciences;86;2;Homme;59;3;3;Research Scientist;1;Divorcé;9724;18787;2;No;17;3;3;80;25;2;3;1;0;0;0
35;Non;Voyage_fréquemment;664;R&D;1;3;Medecine;88;2;Homme;79;3;1;Research Scientist;1;Marié;2194;5868;4;No;13;3;4;80;5;2;2;3;2;1;2
36;Oui;Voyage_rarement;318;R&D;9;3;Medecine;90;4;Homme;79;2;1;Research Scientist;3;Marié;3388;21777;0;Yes;17;3;1;80;2;0;2;1;0;0;0
59;Non;Voyage_fréquemment;1225;Ventes;1;1;Sciences;91;1;Femme;57;2;2;Sales Executive;3;célibataire;5473;24668;7;No;11;3;4;80;20;2;2;4;3;1;3
29;Non;Voyage_rarement;1328;R&D;2;3;Sciences;94;3;Homme;76;3;1;Research Scientist;2;Marié;2703;4956;0;No;23;4;4;80;6;3;3;5;4;0;4
31;Non;Voyage_rarement;1082;R&D;1;4;Medecine;95;3;Homme;87;3;1;Research Scientist;2;célibataire;2501;18775;1;No;17;3;2;80;1;4;3;1;1;1;0
32;Non;Voyage_rarement;548;R&D;1;3;Sciences;96;2;Homme;66;3;2;Research Scientist;2;Marié;6220;7346;1;No;17;3;2;80;10;3;3;10;4;0;9
36;Non;Voyage_rarement;132;R&D;6;3;Sciences;97;2;Femme;55;4;1;Laboratory Technician;4;Marié;3038;22002;3;No;12;3;2;80;5;3;3;1;0;0;0
31;Non;Voyage_rarement;746;R&D;8;4;Sciences;98;3;Femme;61;3;2;Manufacturing Director;4;célibataire;4424;20682;1;No;23;4;4;80;11;2;3;11;7;1;8
35;Non;Voyage_rarement;776;Ventes;1;4;Marketing;100;3;Homme;32;2;2;Sales Executive;1;célibataire;4312;23016;0;No;14;3;2;80;16;2;3;15;13;2;8
45;Non;Voyage_rarement;193;R&D;6;4;Autres;101;4;Homme;52;3;3;Research Director;1;Marié;13245;15067;4;Yes;14;3;2;80;17;3;4;0;0;0;0
37;Non;Voyage_rarement;397;R&D;7;4;Medecine;102;1;Homme;30;3;3;Research Director;3;célibataire;13664;25258;4;No;13;3;1;80;16;3;4;5;2;0;2
46;Non;Voyage_rarement;945;RH;5;2;Medecine;103;2;Homme;80;3;2;Human Resources;2;Divorcé;5021;10425;8;Yes;22;4;4;80;16;2;3;4;2;0;2
30;Non;Voyage_rarement;852;R&D;1;1;Sciences;104;4;Homme;55;2;2;Laboratory Technician;4;Marié;5126;15998;1;Yes;12;3;3;80;10;1;2;10;8;3;0
35;Non;Voyage_rarement;1214;R&D;1;3;Medecine;105;2;Homme;30;2;1;Research Scientist;3;célibataire;2859;26278;1;No;18;3;1;80;6;3;3;6;4;0;4
55;Non;Voyage_rarement;111;Ventes;1;2;Sciences;106;1;Homme;70;3;3;Sales Executive;4;Marié;10239;18092;3;No;14;3;4;80;24;4;3;1;0;1;0
38;Non;Voyage-pas;573;R&D;6;3;Medecine;107;2;Femme;79;1;2;Research Scientist;4;Divorcé;5329;15717;7;Yes;12;3;4;80;17;3;3;13;11;1;9
34;Non;Voyage_rarement;1153;R&D;1;2;Medecine;110;1;Homme;94;3;2;Manufacturing Director;2;Marié;4325;17736;1;No;15;3;3;80;5;2;3;5;2;1;3
56;Non;Voyage_rarement;1400;R&D;7;3;Sciences;112;4;Homme;49;1;3;Manufacturing Director;4;célibataire;7260;21698;4;No;11;3;1;80;37;3;2;6;4;0;2
23;Non;Voyage_rarement;541;Ventes;2;1;Diplome technique;113;3;Homme;62;3;1;Sales Representative;1;Divorcé;2322;9518;3;No;13;3;3;80;3;3;3;0;0;0;0
51;Non;Voyage_rarement;432;R&D;9;4;Sciences;116;4;Homme;96;3;1;Laboratory Technician;4;Marié;2075;18725;3;No;23;4;2;80;10;4;3;4;2;0;3
30;Non;Voyage_rarement;288;R&D;2;3;Sciences;117;3;Homme;99;2;2;Healthcare Representative;4;Marié;4152;15830;1;No;19;3;1;80;11;3;3;11;10;10;8
46;Oui;Voyage_rarement;669;Ventes;9;2;Medecine;118;3;Homme;64;2;3;Sales Executive;4;célibataire;9619;13596;1;No;16;3;4;80;9;3;3;9;8;4;7
40;Non;Voyage_fréquemment;530;R&D;1;4;Sciences;119;3;Homme;78;2;4;Healthcare Representative;2;Marié;13503;14115;1;No;22;4;4;80;22;3;2;22;3;11;11
51;Non;Voyage_rarement;632;Ventes;21;4;Marketing;120;3;Homme;71;3;2;Sales Executive;4;célibataire;5441;8423;0;Yes;22;4;4;80;11;2;1;10;7;1;0
30;Non;Voyage_rarement;1334;Ventes;4;2;Medecine;121;3;Femme;63;2;2;Sales Executive;2;Divorcé;5209;19760;1;Yes;12;3;2;80;11;4;2;11;8;2;7
46;Non;Voyage_fréquemment;638;R&D;1;3;Medecine;124;3;Homme;40;2;3;Healthcare Representative;1;Marié;10673;3142;2;Yes;13;3;3;80;21;5;2;10;9;9;5
32;Non;Voyage_rarement;1093;Ventes;6;4;Medecine;125;2;Homme;87;3;2;Sales Executive;3;célibataire;5010;24301;1;No;16;3;1;80;12;0;3;11;8;5;7
54;Non;Voyage_rarement;1217;R&D;2;4;Diplome technique;126;1;Femme;60;3;3;Research Director;3;Marié;13549;24001;9;No;12;3;1;80;16;5;1;4;3;0;3
24;Non;Voyage_rarement;1353;Ventes;3;2;Autres;128;1;Femme;33;3;2;Sales Executive;3;Marié;4999;17519;0;No;21;4;1;80;4;2;2;3;2;0;2
28;Non;Voyage-pas;120;Ventes;4;3;Medecine;129;2;Homme;43;3;2;Sales Executive;3;Marié;4221;8863;1;No;15;3;2;80;5;3;4;5;4;0;4
58;Non;Voyage_rarement;682;Ventes;10;4;Medecine;131;4;Homme;37;3;4;Sales Executive;3;célibataire;13872;24409;0;No;13;3;3;80;38;1;2;37;10;1;8
44;Non;Voyage-pas;489;R&D;23;3;Medecine;132;2;Homme;67;3;2;Laboratory Technician;2;Marié;2042;25043;4;No;12;3;3;80;17;3;4;3;2;1;2
37;Oui;Voyage_rarement;807;RH;6;4;RH;133;3;Homme;63;3;1;Human Resources;1;Divorcé;2073;23648;4;Yes;22;4;4;80;7;3;3;3;2;0;2
32;Non;Voyage_rarement;827;R&D;1;1;Sciences;134;4;Homme;71;3;1;Research Scientist;1;célibataire;2956;15178;1;No;13;3;4;80;1;2;3;1;0;0;0
20;Oui;Voyage_fréquemment;871;R&D;6;3;Sciences;137;4;Femme;66;2;1;Laboratory Technician;4;célibataire;2926;19783;1;Yes;18;3;2;80;1;5;3;1;0;1;0
34;Non;Voyage_rarement;665;R&D;6;4;Autres;138;1;Femme;41;3;2;Research Scientist;3;célibataire;4809;12482;1;No;14;3;3;80;16;3;3;16;13;2;10
37;Non;Voyage-pas;1040;R&D;2;2;Sciences;139;3;Homme;100;2;2;Healthcare Representative;4;Divorcé;5163;15850;5;No;14;3;4;80;17;2;4;1;0;0;0
59;Non;Voyage-pas;1420;RH;2;4;RH;140;3;Femme;32;2;5;Manager;4;Marié;18844;21922;9;No;21;4;4;80;30;3;3;3;2;2;2
50;Non;Voyage_fréquemment;1115;R&D;1;3;Sciences;141;1;Femme;73;3;5;Research Director;2;Marié;18172;9755;3;Yes;19;3;1;80;28;1;2;8;3;0;7
25;Oui;Voyage_rarement;240;Ventes;5;3;Marketing;142;3;Homme;46;2;2;Sales Executive;3;célibataire;5744;26959;1;Yes;11;3;4;80;6;1;3;6;4;0;3
25;Non;Voyage_rarement;1280;R&D;7;1;Medecine;143;4;Homme;64;2;1;Research Scientist;4;Marié;2889;26897;1;No;11;3;3;80;2;2;3;2;2;2;1
22;Non;Voyage_rarement;534;R&D;15;3;Medecine;144;2;Femme;59;3;1;Laboratory Technician;4;célibataire;2871;23785;1;No;15;3;3;80;1;5;3;0;0;0;0
51;Non;Voyage_fréquemment;1456;R&D;1;4;Medecine;145;1;Femme;30;2;3;Healthcare Representative;1;célibataire;7484;25796;3;No;20;4;3;80;23;1;2;13;12;12;8
34;Oui;Voyage_fréquemment;658;R&D;7;3;Sciences;147;1;Homme;66;1;2;Laboratory Technician;3;célibataire;6074;22887;1;Yes;24;4;4;80;9;3;3;9;7;0;6
54;Non;Voyage-pas;142;RH;26;3;RH;148;4;Femme;30;4;4;Manager;4;célibataire;17328;13871;2;Yes;12;3;3;80;23;3;3;5;3;4;4
24;Non;Voyage_rarement;1127;R&D;18;1;Sciences;150;2;Homme;52;3;1;Laboratory Technician;3;Marié;2774;13257;0;No;12;3;3;80;6;2;3;5;3;1;2
34;Non;Voyage_rarement;1031;R&D;6;4;Sciences;151;3;Femme;45;2;2;Research Scientist;2;Divorcé;4505;15000;6;No;15;3;3;80;12;3;3;1;0;0;0
37;Non;Voyage_rarement;1189;Ventes;3;3;Sciences;152;3;Homme;87;3;3;Sales Executive;4;célibataire;7428;14506;2;No;12;3;1;80;12;3;3;5;3;1;3
34;Non;Voyage_rarement;1354;R&D;5;3;Medecine;153;3;Femme;45;2;3;Manager;1;célibataire;11631;5615;2;No;12;3;4;80;14;6;3;11;10;5;8
36;Non;Voyage_fréquemment;1467;Ventes;11;2;Diplome technique;154;2;Femme;92;3;3;Sales Executive;4;Marié;9738;22952;0;No;14;3;3;80;10;6;3;9;7;2;8
36;Non;Voyage_rarement;922;R&D;3;2;Sciences;155;1;Femme;39;3;1;Laboratory Technician;4;Divorcé;2835;2561;5;No;22;4;1;80;7;2;3;1;0;0;0
43;Non;Voyage_fréquemment;394;Ventes;26;2;Sciences;158;3;Homme;92;3;4;Manager;4;Marié;16959;19494;1;Yes;12;3;4;80;25;3;4;25;12;4;12
30;Non;Voyage_fréquemment;1312;R&D;23;3;Sciences;159;1;Homme;96;1;1;Research Scientist;3;Divorcé;2613;22310;1;No;25;4;3;80;10;2;2;10;7;0;9
33;Non;Voyage-pas;750;Ventes;22;2;Marketing;160;3;Homme;95;3;2;Sales Executive;2;Marié;6146;15480;0;No;13;3;1;80;8;2;4;7;7;0;7
56;Oui;Voyage_rarement;441;R&D;14;4;Sciences;161;2;Femme;72;3;1;Research Scientist;2;Marié;4963;4510;9;Yes;18;3;1;80;7;2;3;5;4;4;3
51;Non;Voyage_rarement;684;R&D;6;3;Sciences;162;1;Homme;51;3;5;Research Director;3;célibataire;19537;6462;7;No;13;3;3;80;23;5;3;20;18;15;15
31;Oui;Voyage_rarement;249;Ventes;6;4;Sciences;163;2;Homme;76;1;2;Sales Executive;3;Marié;6172;20739;4;Yes;18;3;2;80;12;3;2;7;7;7;7
26;Non;Voyage_rarement;841;R&D;6;3;Autres;164;3;Femme;46;2;1;Research Scientist;2;Marié;2368;23300;1;No;19;3;3;80;5;3;2;5;4;4;3
58;Oui;Voyage_rarement;147;R&D;23;4;Medecine;165;4;Femme;94;3;3;Healthcare Representative;4;Marié;10312;3465;1;No;12;3;4;80;40;3;2;40;10;15;6
19;Oui;Voyage_rarement;528;Ventes;22;1;Marketing;167;4;Homme;50;3;1;Sales Representative;3;célibataire;1675;26820;1;Yes;19;3;4;80;0;2;2;0;0;0;0
22;Non;Voyage_rarement;594;R&D;2;1;Diplome technique;169;3;Homme;100;3;1;Laboratory Technician;4;Marié;2523;19299;0;No;14;3;3;80;3;2;3;2;1;2;1
49;Non;Voyage_rarement;470;R&D;20;4;Medecine;170;3;Femme;96;3;2;Manufacturing Director;1;Marié;6567;5549;1;No;14;3;3;80;16;2;2;15;11;5;11
43;Non;Voyage_fréquemment;957;R&D;28;3;Medecine;171;2;Femme;72;4;1;Research Scientist;3;célibataire;4739;16090;4;No;12;3;4;80;18;2;3;3;2;1;2
50;Non;Voyage_fréquemment;809;Ventes;12;3;Marketing;174;3;Femme;77;3;3;Sales Executive;4;célibataire;9208;6645;4;No;11;3;4;80;16;3;3;2;2;2;1
31;Oui;Voyage_rarement;542;Ventes;20;3;Sciences;175;2;Femme;71;1;2;Sales Executive;3;Marié;4559;24788;3;Yes;11;3;3;80;4;2;3;2;2;2;2
41;Non;Voyage_rarement;802;Ventes;9;1;Sciences;176;3;Homme;96;3;3;Sales Executive;3;Divorcé;8189;21196;3;Yes;13;3;3;80;12;2;3;9;7;0;7
26;Non;Voyage_rarement;1355;RH;25;1;Sciences;177;3;Femme;61;3;1;Human Resources;3;Marié;2942;8916;1;No;23;4;4;80;8;3;3;8;7;5;7
36;Non;Voyage_rarement;216;R&D;6;2;Medecine;178;2;Homme;84;3;2;Manufacturing Director;2;Divorcé;4941;2819;6;No;20;4;4;80;7;0;3;3;2;0;1
51;Oui;Voyage_fréquemment;1150;R&D;8;4;Sciences;179;1;Homme;53;1;3;Manufacturing Director;4;célibataire;10650;25150;2;No;15;3;4;80;18;2;3;4;2;0;3
39;Non;Voyage_rarement;1329;Ventes;4;4;Sciences;182;4;Femme;47;2;2;Sales Executive;3;Marié;5902;14590;4;No;14;3;3;80;17;1;4;15;11;5;9
25;Non;Voyage_rarement;959;Ventes;28;3;Sciences;183;1;Homme;41;2;2;Sales Executive;3;Marié;8639;24835;2;No;18;3;4;80;6;3;3;2;2;2;2
30;Non;Voyage_rarement;1240;RH;9;3;RH;184;3;Homme;48;3;2;Human Resources;4;Marié;6347;13982;0;Yes;19;3;4;80;12;2;1;11;9;4;7
32;Oui;Voyage_rarement;1033;R&D;9;3;Medecine;190;1;Femme;41;3;1;Laboratory Technician;1;célibataire;4200;10224;7;No;22;4;1;80;10;2;4;5;4;0;4
45;Non;Voyage_rarement;1316;R&D;29;3;Medecine;192;3;Homme;83;3;1;Research Scientist;4;célibataire;3452;9752;5;No;13;3;2;80;9;2;2;6;5;0;3
38;Non;Voyage_rarement;364;R&D;3;5;Diplome technique;193;4;Femme;32;3;2;Research Scientist;3;célibataire;4317;2302;3;Yes;20;4;2;80;19;2;3;3;2;2;2
30;Non;Voyage_rarement;438;R&D;18;3;Sciences;194;1;Femme;75;3;1;Research Scientist;3;célibataire;2632;23910;1;No;14;3;3;80;5;4;2;5;4;0;4
32;Non;Voyage_fréquemment;689;Ventes;9;2;Medecine;195;4;Homme;35;1;2;Sales Executive;4;Divorcé;4668;22812;0;No;17;3;4;80;9;2;4;8;7;0;7
30;Non;Voyage_rarement;201;R&D;5;3;Diplome technique;197;4;Femme;84;3;1;Research Scientist;1;Divorcé;3204;10415;5;No;14;3;4;80;8;3;3;3;2;2;2
30;Non;Voyage_rarement;1427;R&D;2;1;Medecine;198;2;Homme;35;2;1;Laboratory Technician;4;célibataire;2720;11162;0;No;13;3;4;80;6;3;3;5;3;1;2
